Name,Time,Location,Link
Our Voices - Women in Leadership,"Wednesday, December 5, 2018 at 5 PM – 7 PM",OC0.02,https://www.facebook.com/events/286213075336918
#AFROFEST2018 - KINGS AND QUEENS,Today at 6 PM – 2 AM,The Copper Rooms,https://www.facebook.com/events/562886830840964
Amnesty Elections for our new Treasurer!,"Thursday, December 6, 2018 at 6:30 PM – 8:30 PM CST",S2.81,https://www.facebook.com/events/2229878447289064
Amnesty & Unicef: Christmas Dinner!,"Friday, December 7, 2018 at 8 PM – 11 PM",Cellar Club Leamington,https://www.facebook.com/events/737642283249262
Unicef and Amnesty present: Pre-drinks and Neon,"Friday, December 7, 2018 at 9:30 PM – 11:30 PM","60 Ranelagh Terrace, Leamington Spa, CV31 3BT, United Kingdom",https://www.facebook.com/events/197033544516964
EqualAccess Speaker Event And Discussion,Tuesday at 6 PM – 8 PM,Oc1.03 Uni of Warwick,https://www.facebook.com/events/341783839736976
ArabSoc Elections,"Wednesday, December 5, 2018 at 5:30 PM – 6:30 PM",Arabic Society - University of Warwick,https://www.facebook.com/events/188796778727831
Christmas Milonga,"Thursday, December 6, 2018 at 6:30 PM – 9:30 PM","Flexigrid, Bar Fusion, University of Warwick.",https://www.facebook.com/events/568075003620475
Christmas Dinner,"Friday, December 7, 2018 at 7 PM – 11 PM",Cafe Rouge Leamington,https://www.facebook.com/events/2129658687353290
ASOC Tour 2018,"Jan 18, 2019 at 12 PM – Jan 20, 2019 at 8 PM",Cardiff,https://www.facebook.com/events/217447462484785
Christmas Movie Night!,Tuesday at 7 PM – 9 PM,OC1.08,https://www.facebook.com/events/575392979541981
BandSoc Winter Gig,Today at 8 PM – 10 PM,Kelsey's,https://www.facebook.com/events/268850440490902
GoldReed + River Purple at Kasbah,"Friday, December 7, 2018 at 10 PM – 1 AM",Kasbah Nightclub,https://www.facebook.com/events/348525872600560
Week 10 Potluck,Tuesday at 7:30 PM – 11:59 PM,"26 Leicester Street, Leamington Spa, CV32 4TE, United Kingdom",https://www.facebook.com/events/273385706713410
End Of Term Showcase + Pizzaz Interest Meeting,"Thursday, December 6, 2018 at 4 PM – 6 PM",Ikea Rooms SU,https://www.facebook.com/events/550721215400725
BFTen Deadline For Final Films (extended),Tomorrow at 11:59 PM,,https://www.facebook.com/events/2164430503874518
BFT Presents ‘22:36’: Screening and Awards Ceremony (BFTen 2018),"Thursday, December 6, 2018 at 12 AM",Location and time tbc,https://www.facebook.com/events/301045327289963
End of Term Neon,"Friday, December 7, 2018 at 8 PM – 2 AM",Leamington Nightsout,https://www.facebook.com/events/2198131870466957
BioSoc TOUR 2019- Berlin,"Jan 25, 2019 – Jan 28, 2019","Berlin, Germany",https://www.facebook.com/events/276013926350101
Advent Penance Service,Monday at 7:45 PM,"Chaplaincy, University of Warwick",https://www.facebook.com/events/191553861724742
Christmas Potluck Dinner!,Tuesday at 6 PM,,https://www.facebook.com/events/542879452847876
Christmas Dinner!,Tomorrow at 6:30 PM,"Chaplaincy, University of Warwick",https://www.facebook.com/events/917322628656130
Warwick Christmas Carol Concert,Tuesday at 7 PM – 9 PM,Warwick Arts Centre,https://www.facebook.com/events/375161833239603
24 Hours of Reality Watch Party | Climate Reality Warwick,Tuesday at 9 AM – 10 PM,"Piazza, University of Warwick and Oculus OC0.01",https://www.facebook.com/events/1798469743595243
Week 10- Birmingham Bar crawl,"Thursday, December 6, 2018 at 6 PM – 11:30 PM",,https://www.facebook.com/events/896366010558132
WCC Lisbon Tour,"Mar 18, 2019 at 10 AM – Mar 22, 2019 at 10:30 PM",University of Warwick,https://www.facebook.com/events/2155356594724218
So Much To Laugh For: A Student Sketch Show!,Monday at 7:30 PM – 10:30 PM,"L4, Science Concourse, University of Warwick",https://www.facebook.com/events/484574148701171
Stand-Up Showcase (Week 10),"Thursday, December 6, 2018 at 7:30 PM – 10:30 PM",The Graduate,https://www.facebook.com/events/388828535074511
Warwick Comedy End Of Term Curry!,"Friday, December 7, 2018 at 9 PM",Millennium Balti,https://www.facebook.com/events/2220831864857534
Greek Για Την Ζωή - 7/12 - with DJ Demis.Ö.,"Friday, December 7, 2018 at 11 PM – 3:30 AM",Altoria Leamington,https://www.facebook.com/events/757044324639066
DofE Warwick's holiday meal!,"Wednesday, December 5, 2018 at 7 PM – 10 PM",Bombay Restaurant Leamington Spa (EST.1980),https://www.facebook.com/events/1933632076938388
EaSoc X SomSoc Movie Night,"Thursday, December 6, 2018 at 6 PM","Maths and Statistics, University Of Warwick",https://www.facebook.com/events/922547231466121
Effective Altruism Workshop - Measuring Peace,Tuesday at 6 PM – 7 PM,MB0.08 (New Maths Building),https://www.facebook.com/events/383588445516838
Innovation Hub,"Jan 15, 2019 at 8 AM – Jan 20, 2019 at 12 AM",Enactus Warwick,https://www.facebook.com/events/549077218898376
Freshers Reps Applications,Nov 20 at 7:34 AM – Dec 2 at 12 PM,,https://www.facebook.com/events/761451144197802
Freshblood Scratch Night (Week 10),"Wednesday, December 5, 2018 at 7 PM – 9:30 PM","Writers Room, Millburn House",https://www.facebook.com/events/567084577049463
Last Games Night 2018!,Tuesday at 6 PM – 11 PM,S0.10,https://www.facebook.com/events/277018669682534
Christmas Festivities,"Thursday, December 6, 2018 at 6:15 PM – 11 PM",Varsity Warwick,https://www.facebook.com/events/774039376276090
Join our Event Page for the Event List!,"Thursday, December 31, 2026 at 11:59 PM – 12 AM",,https://www.facebook.com/events/116253562405055
GSS Presents: Vorglüh-Wein mit Punsch-Line,"Thursday, December 6, 2018 at 8:30 PM – 11:30 PM","18 Clarendon Avenue, CV32 4RY",https://www.facebook.com/events/381012165971930
Christmas Meal at the Angel Hotel,Today at 6:30 PM – 8:30 PM,Angel Hotel,https://www.facebook.com/events/329824027835999
Christmas Dinner,"Wednesday, December 5, 2018 at 6 PM",,https://www.facebook.com/events/2043365759090857
Aarti Week 10: Scotty's Little Soldiers,Monday at 6:15 PM – 7:30 PM,"Chaplaincy, University of Warwick",https://www.facebook.com/events/379736612770217
EQHO Term 1 Showcase 2018,"Thursday, December 6, 2018 at 7 PM – 9 PM","Ikea rooms, Warwick SU",https://www.facebook.com/events/2255896324699895
EQHO Goes International: Budapest 2019,"Mar 17, 2019 at 4 AM – Mar 20, 2019 at 6 PM UTC+01","Budapest, Hungary",https://www.facebook.com/events/1184515605037457
HistSoc's Christmas Dinner!,Tuesday at 7 PM – 10 PM,Basement Browns,https://www.facebook.com/events/457918541402471
HunSoc Hits Neon(+circling),"Friday, December 7, 2018 at 8:30 PM – 10:30 PM","Leamington Spa, Warwickshire",https://www.facebook.com/events/255046691854128
IELS Takes Amsterdam!,"Feb 11, 2019 at 12 AM – Feb 14, 2019 at 3 AM UTC+01",Amsterdam,https://www.facebook.com/events/253917592143312
Week 10: Christmas Curry Meal,"Thursday, December 6, 2018 at 7 PM",King Baba's,https://www.facebook.com/events/2281105178837358
Chocolate Fondue Swiss x Italian Speaking Soc *SOLD OUT*,"Thursday, December 6, 2018 at 8 PM – 12 AM","3 Clarendon Square, Leamington Spa, CV32 5, United Kingdom",https://www.facebook.com/events/2224478927840357
KPOP IN PUBLIC PERFORMANCE & RANDOM PLAY DANCE,Tomorrow at 2 PM,piazza,https://www.facebook.com/events/2409264809104002
Sacred Sounds: Midlands Biggest Meditation Event,"Friday, December 7, 2018 at 6:30 PM – 10 PM",31 Granby St,https://www.facebook.com/events/206240383621774
Open Day - UK Firms,Monday at 9 AM – 3 PM,Warwick Law Society,https://www.facebook.com/events/431904500674424
Ashurst First Year Mooting Competition Final,"Wednesday, December 5, 2018 at 8 AM – 8 PM",Ashurst,https://www.facebook.com/events/368631663713345
Allen & Overy Networking Lunch,"Wednesday, December 5, 2018 at 12 PM – 3 PM",Warwick Law Society,https://www.facebook.com/events/488097871699469
Warwick Law Society International Tour - AMSTERDAM,"Feb 14, 2019 at 12 AM – Feb 17, 2019 at 12 AM",Warwick Law Society,https://www.facebook.com/events/2058822137763788
Mind Aware Christmas Meal,Monday at 8 PM – 9:30 PM,Gourmet Burger Kitchen,https://www.facebook.com/events/2220243144962854
